Time,Noise (dB)
2025-07-26 01:10:40.475000,48.0
2025-07-26 01:10:40.674991,41.0
2025-07-26 01:10:40.874983,38.0
2025-07-26 01:10:41.074974,40.0
2025-07-26 01:10:41.274965,40.0
2025-07-26 01:10:41.474957,40.0
2025-07-26 01:10:41.674948,40.0
2025-07-26 01:10:41.874940,40.0
2025-07-26 01:10:42.074931,40.0
2025-07-26 01:10:42.274922,42.0
2025-07-26 01:10:42.474914,41.0
2025-07-26 01:10:42.674905,42.0
2025-07-26 01:10:42.874896,41.0
2025-07-26 01:10:43.074888,41.0
2025-07-26 01:10:43.274879,40.0
2025-07-26 01:10:43.474871,43.0
2025-07-26 01:10:43.674862,40.0
2025-07-26 01:10:43.874853,41.0
2025-07-26 01:10:44.074845,41.0
2025-07-26 01:10:44.274836,40.0
2025-07-26 01:10:44.474827,40.0
2025-07-26 01:10:44.674819,39.0
2025-07-26 01:10:44.874810,40.0
2025-07-26 01:10:45.074801,40.0
2025-07-26 01:10:45.274793,43.0
2025-07-26 01:10:45.474784,46.0
2025-07-26 01:10:45.674776,42.0
2025-07-26 01:10:45.874767,42.0
2025-07-26 01:10:46.074758,39.0
2025-07-26 01:10:46.274750,41.0
2025-07-26 01:10:46.474741,40.0
2025-07-26 01:10:46.674732,42.0
2025-07-26 01:10:46.874724,42.0
2025-07-26 01:10:47.074715,43.0
2025-07-26 01:10:47.274707,43.0
2025-07-26 01:10:47.474698,41.0
2025-07-26 01:10:47.674689,41.0
2025-07-26 01:10:47.874681,41.0
2025-07-26 01:10:48.074672,42.0
2025-07-26 01:10:48.274663,42.0
2025-07-26 01:10:48.474655,41.0
2025-07-26 01:10:48.674646,42.0
2025-07-26 01:10:48.874638,42.0
2025-07-26 01:10:49.074629,42.0
2025-07-26 01:10:49.274620,41.0
2025-07-26 01:10:49.474612,42.0
2025-07-26 01:10:49.674603,41.0
2025-07-26 01:10:49.874594,42.0
2025-07-26 01:10:50.074586,42.0
2025-07-26 01:10:50.274577,43.0
2025-07-26 01:10:50.474568,42.0
2025-07-26 01:10:50.674560,42.0
2025-07-26 01:10:50.874551,47.0
2025-07-26 01:10:51.074543,46.0
2025-07-26 01:10:51.274534,43.0
2025-07-26 01:10:51.474525,43.0
2025-07-26 01:10:51.674517,42.0
2025-07-26 01:10:51.874508,43.0
2025-07-26 01:10:52.074499,42.0
